"CUE Anexo","Es anexo","Sector","Recibe subvención estatal","Es confesional","Ámbito","Nombre del establecimiento","Domicilio","C. P.","Localidad","Teléfono","Correo electrónico","Ofrece educación primaria","Ofrece educación secundaria","Ofrece educación inicial y/o maternal","Turnos del nivel secundario","Jornada extendida","Idiomas que se enseñan","Artisticas","Biblioteca","Sala o laboratorio de informática","Tiene asociación cooperadora","Dispone de conexión a internet","Tipo de conexión","Origen de electricidad","Es secundaria técnica","Es artística","Es modalidad intercultural bilingüe","Establecimiento creado en 2024","Secciones","Secciones independientes de nivel secundario en 2023","Secciones múltiples de nivel secundario en 2023","Matrícula","Matrícula varones de nivel secundario en 2023","Egresados de nivel secundario en 2022","Egresados varones de nivel secundario en 2022","Latitud","Longitud","Precisión del georreferenciamiento","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio"
"140542000",2,1,2,2,2,"I.P.E.M. Nº 371","CALLE PUBLICA S/N    RAYO CORTADO (FRENTE A PLAZA CENTRAL)","X5246","RAYO CORTADO","0 0","ipem371@gmail.com",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Cable Modem","Red Pública",2,2,2,2,6,6,0,117,50,7,5,-30.0761792,-63.8258223,"APROXIMADA","14","Córdoba","14112","Río Seco","141120310"
"140541101",1,1,2,2,2,"I.P.E.M. Nº 369 DR. RENE FAVALORO ANEXO SAN PEDRO NORTE","9 DE JULIO   SAN PEDRO NORTE","X5205","SAN PEDRO NORTE","","",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,2,"","Red Pública",2,2,2,2,6,6,0,48,19,8,7,-30.09016266,-64.15490777,"APROXIMADA","14","Córdoba","14175","Tulumba","141750112"
"140431801",1,1,2,2,2,"I.P.E.M. N° 112 DR. CESAR IÑIGUEZ MONTENEGRO ANEXO LA RINCONADA","CALLE N° 6   LA RINCONADA","X5233","LA RINCONADA","03522 498943 Base","cbularinconada@hotmail.com",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica",1,2,2,1,"Satelital","Red Pública",2,2,2,2,2,0,2,38,16,6,1,-30.183202,-62.9441043,"APROXIMADA","14","Córdoba","14112","Río Seco","141120309"
"140431800",2,1,2,2,1,"I.P.E.M. Nº 112 DR. CESAR IÑIGUEZ MONTENEGRO","GRANADERO MARQUEZ 317 NORTE SEBASTIAN ELCANO","X5231","SEBASTIAN ELCANO","03522 498943","ipem112elcano@gmail.com; EE0310536@me.cba.gov.ar",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Cable Modem","Red Pública",2,2,2,2,14,14,0,369,170,34,12,-30.157324,-63.591652,"PRECISA","14","Córdoba","14112","Río Seco","141120312"
"140579800",2,1,2,2,2,"PROA - ESCUELA DE EDUCACION SECUNDARIA DE FORMACION PROFESIONAL ESPECIALIZADA","VELEZ SARSFIELD S/N°  CENTRO VILLA QUILINO","X5214","VILLA QUILINO","03521 15435951 (COORD)","",2,1,2,"Tarde",2,"Inglés","Artísticas Visuales/Plástica",2,2,1,1,"Telefónica","Red Pública",2,2,2,2,0,0,0,0,0,0,0,-30.209167,-64.468435,"APROXIMADA","14","Córdoba","14049","Ischilín","140490112"
"140282000",2,2,5,3,1,"INSTITUTO QUILINO","12 DE OCTUBRE 315  QUILINO","X5214","QUILINO","03521 498022","instituto.privado.quilino@gmail.com",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Telefónica","Red Pública",1,2,2,2,21,21,0,606,294,47,17,-30.212019,-64.501038,"PRECISA","14","Córdoba","14049","Ischilín","140490113"
"140448001",1,1,2,2,2,"I.P.E.T. N° 34 PEDRO CATTANEO- ANEXO ROSARIO DEL SALADILLO","JAVIER GARCIA   VILLA ROSARIO DEL SALADILLO","X5233","VILLA ROSARIO DEL SALADILLO","03522 493045","ipem34@yahoo.com.ar",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica",2,2,1,1,"Cable Modem/ Satelital","Red Pública",2,2,2,2,2,0,2,31,17,3,2,-30.43151835,-63.4746319,"PRECISA","14","Córdoba","14175","Tulumba","141750211"
"140573601",1,1,2,2,2,"I.P.E.M. N° 425 ANEXO COLONIA 10 DE JULIO","CALLE PUBLICA S/N   COLONIA 10 DE JULIO P/MORTEROS","2421","COLONIA 10 DE JULIO","03564 15561847","",2,1,2,"Mañana, Doble",2,"Inglés","Artísticas Visuales/Plástica, Teatro",2,2,2,1,"Cable Modem","Red Pública",2,2,2,2,2,0,2,35,17,4,3,-30.52697653,-62.11288915,"APROXIMADA","14","Córdoba","14140","San Justo","141400801"
"140573603",1,1,2,2,2,"I.P.E.M. N° 425 ANEXO COLONIA MAUNIER CENTRO","CALLE PUBLICA S/N°   COLONIA MAUNIER","X2421","COLONIA MAUNIER CENTRO","03562 402396","",2,1,2,"Mañana, Doble",2,"Inglés","Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Cable Modem","Red Pública",2,2,2,2,2,0,2,38,19,0,0,-30.59099621,-62.13002823,"APROXIMADA","14","Córdoba","14140","San Justo","141400801"
"140430900",2,1,2,2,1,"I.P.E.A.y T. Nº 223 INTENDENTE RAMON NICENO QUINTEROS","LOS INMIGRANTES 205 CENTRO SAN JOSE DE LA DORMIDA (ATRAS DE LA ESC.ESP.CARMEN AMAYA)","X5244","SAN JOSE DE LA DORMIDA","03521 497911","ipem223@hotmail.com",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Cable Modem","Red Pública",1,2,2,2,23,23,0,540,250,44,23,-30.35889601,-63.94502869,"PRECISA","14","Córdoba","14175","Tulumba","141750216"
"140296300",2,1,2,2,1,"I.P.E.T.y A. Nº 53 FRAY LUIS BELTRAN","AV.FRAY LUIS BELTRAN 300 LA CERAMICA DEAN FUNES","X5200","DEAN FUNES","03521 426224","ipem53frayluisbeltran@yahoo.com.ar",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Teatro",1,1,1,1,"Telefónica","Red Pública",1,2,2,2,48,44,4,1311,781,129,76,-30.41991651,-64.33988661,"PRECISA","14","Córdoba","14049","Ischilín","140490108"
"140448000",2,1,2,2,2,"I.P.E.T. Nº 34 PEDRO CATTANEO","CRUZ del EJE 481","X5231","LAS ARRIAS","03522 493902","ipem34@yahoo.com.ar",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Satelital","Red Pública",1,2,2,2,7,7,0,163,80,8,5,-30.37353177,-63.5947716,"PRECISA","14","Córdoba","14175","Tulumba","141750218"
"140403900",2,1,2,2,2,"I.P.E.T. Nº 125 LIDIA PURA BENITEZ","9 de Julio   Ruta Provincial 16","X5203","VILLA TULUMBA","03521 496252","ipem125@gmail.com",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,2,1,"Satelital","Red Pública",1,2,2,2,9,9,0,172,80,14,4,-30.4010147,-64.1213197,"PRECISA","14","Córdoba","14175","Tulumba","141750114"
"140569000",2,1,2,2,1,"ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION","RICARDO GUIRALDES S/N°  JOSE HERNANDEZ DEAN FUNES","X5200","DEAN FUNES","03521 15639600(COORD)","deanfunes.ds@escuelasproa.edu.ar",2,1,2,"Doble",1,"Inglés","Música, Artísticas Visuales/Plástica",2,1,1,1,"Cable Modem","Red Pública",2,2,2,2,5,5,0,131,80,0,0,-30.41484739,-64.36232448,"PRECISA","14","Córdoba","14049","Ischilín","140490302"
"140291200",2,2,5,1,1,"INST. PRIVADO SAGRADO CORAZON","OBISPO RAMON IRIBARNE 182 PLAZA BUSTAMANTE DEAN FUNES","X5200","DEAN FUNES","03521 421175","colesagradoadm@gmail.com",2,1,2,"Mañana, Doble",2,"Inglés","Música, Danzas, Teatro",1,1,2,1,"Cable Modem","Red Pública",2,2,2,2,6,6,0,236,93,39,13,-30.42013427,-64.35032943,"PRECISA","14","Córdoba","14049","Ischilín","140490308"
"140291100",2,1,2,2,1,"ESC. NORMAL SUPERIOR JUAN BAUTISTA ALBERDI","ESPAÑA 170 CENTRO DEAN FUNES","X5200","DEAN FUNES","03521 426220","jbalberdimedia@yahoo.com.ar",1,1,1,"Mañana, Tarde, Doble",1,"Inglés","Música, Artísticas Visuales/Plástica, Danzas, T",1,1,1,1,"ADSL","Red Pública",2,2,2,2,38,38,0,1139,484,95,30,-30.42204372,-64.35162942,"PRECISA","14","Córdoba","14049","Ischilín","140490310"
"140540400",2,1,2,2,2,"I.P.E.M. N° 370","RUTA A 183   LOS CHAÑARITOS N° 1","X5281","LOS CHAÑARITOS N° 1","03549 15639296 (DIRECT)","ipem370_lch@live.com",2,1,2,"Tarde",2,"Inglés","Música, Danzas, Teatro",1,1,1,1,"Satelital","Red Pública",2,2,2,2,6,6,0,119,66,10,3,-30.557844,-64.95526574,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280104"
"140581000",2,1,2,2,2,"I.P.E.M. Nº 434","CALLE PUBLICA S/N°   CHUÑA","X5218","CHUÑA","03521 474911","",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,2,"","Red Pública",2,2,2,2,6,6,0,93,52,0,0,-30.467074,-64.670231,"APROXIMADA","14","Córdoba","14049","Ischilín","140490214"
"140540401",1,1,2,2,2,"I.P.E.M. N° 370 ING.BENJAMIN AMADO REOLIN ANEXO OLIVARES DE SAN NICOLAS","CALLE PUBLICA S/N°   OLIVARES DE SAN NICOLAS","5280","OLIVARES DE SAN NICOLAS","03549 15639296","",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica, Danzas, T",1,1,1,1,"Satelital","Red Pública",2,2,2,2,6,6,0,85,45,5,3,-30.601226,-64.8556489,"APROXIMADA","14","Córdoba","14049","Ischilín","140490201"
"140581001",1,1,2,2,2,"I.P.E.M. Nº 434 ANEXO COPACABANA","CALLE PUBLICA S/N°   COPACABANA","X5200","COPACABANA","03521 482001","",2,1,2,"",2,"","",3,3,3,3,"","Sin información",2,2,2,1,,,,,,,,-30.6454632,-64.5194275,"APROXIMADA","14","Córdoba","14049","Ischilín","140490202"
"140575703",1,1,2,2,2," I.P.E.M. Nº 432 ANEXO LA POSTA","JUAQUIN VICTOR GONZALEZ S/N°   LA POSTA","X5227","LA POSTA","03575 490421 (INT.25)","",2,1,2,"",2,"","",3,3,3,3,"","Sin información",2,2,2,1,,,,,,,,-30.5640922,-63.5168953,"PRECISA","14","Córdoba","14105","Río Primero","141050103"
"140458400",2,2,5,3,2,"INSTITUTO PTE. JOHN FITZGERALD KENNEDY","LIDORO CENTURION  324  LAS PEÑAS","X5238","LAS PEÑAS","03524 492160","institutojohnkennedy@yahoo.com.ar",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",2,2,2,1,"Cable Modem","Red Pública",2,2,2,2,6,6,0,201,82,24,6,-30.5644262,-64.0006993,"APROXIMADA","14","Córdoba","14168","Totoral","141680112"
"140575702",1,1,2,2,2,"I.P.E.M. Nº 432 ANEXO LOS MISTOLES","CALLE PUBLICA S/N    LOS MISTOLES","X 5229","LOS MISTOLES","03525 15622333(DIRECT)","",2,1,2,"Mañana, Doble",2,"","Música, Artísticas Visuales/Plástica",1,2,1,1,"Satelital","Red Pública",2,2,2,2,2,0,2,39,20,3,1,-30.626687,-63.886117,"APROXIMADA","14","Córdoba","14168","Totoral","141680108"
"140575700",2,1,2,2,2,"I.P.E.M. Nº 432","8 DE DICIEMBRE S/N°   CAPILLA DE SITON","X 5231","CAPILLA DE SITON","03525 15622333(DIRECT)","ee0310046@me.cba.gov.ar",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Satelital","Red Pública",2,2,2,2,6,6,0,74,47,2,0,-30.5741858,-63.6525372,"PRECISA","14","Córdoba","14168","Totoral","141680113"
"140575701",1,1,2,2,2,"I.P.E.M. Nº 432 ANEXO CHALACEA","PRESIDENTE PERON S/N°   CHALACEA","X 5229","CHALACEA","03575 402673","",2,1,2,"Tarde",2,"","Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Internet Móvil","Red Pública",2,2,2,2,2,0,2,31,15,5,3,-30.7606413,-63.5587744,"PRECISA","14","Córdoba","14105","Río Primero","141050102"
"140506501",1,1,2,2,2,"I.P.E.M. Nº 340 HORACIO GOÑI FIERRO ANEXO VILLA GUTIERREZ","CALLE PUBLICA S/N°   VILLA GUTIERREZ","X5212","VILLA GUTIERREZ","03525 499911 Base","",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica",1,2,1,1,"ADSL/ Satelital","Red Pública",2,2,2,2,2,0,2,40,21,9,7,-30.6789177,-64.16191,"APROXIMADA","14","Córdoba","14049","Ischilín","140490211"
"140533900",2,1,2,2,2,"I.P.E.M. N° 356","CALLE PUBLICA   MEDIA NARANJA POR RUTA A 175","X5281","MEDIA NARANJA","03549 442355","ipem356@gmail.com",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica",1,2,2,1,"Satelital/ Internet Móvil","Red Pública",2,2,2,2,8,8,0,157,75,15,6,-30.641344,-64.931349,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280109"
"140106800",2,1,2,2,1,"I.P.E.T. Nº 106 REMEDIOS ESCALADA DE SAN MARTIN","MALVINAS ARGENTINAS  MARIA AUXILIADORA SERREZUELA","X5270","SERREZUELA","03549 492070","ipem106@hotmail.com",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Internet Móvil","Red Pública",1,2,2,2,10,10,0,233,116,17,6,-30.6372,-65.38546,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280406"
"140255701",1,1,2,2,2,"I.P.E.M. N° 45 DR. ERNESTO MOLINARI ROMERO ANEXO PIEDRITA BLANCA","CALLE PUBLICA   PIEDRITA BLANCA","X5270","PIEDRITA BLANCA","03549 496022 base","",2,1,2,"Tarde",2,"Inglés","Artísticas Visuales/Plástica",2,2,2,1,"Satelital","Red Pública",2,2,2,2,6,6,0,34,18,8,5,-30.80852558,-65.42877404,"APROXIMADA","14","Córdoba","14070","Minas","140700101"
"140548701",1,1,2,2,2,"I.P.E.M. N° 381 ANEXO EL CHACHO","PUBLICA","X5272","EL CHACHO","0 0","cbururalelchacho@hotmail.com; cbururalanexoelchacho@hotmail.com",2,1,2,"Tarde",2,"Inglés","Música, Artísticas Visuales/Plástica",2,2,2,2,"","Red Pública",2,2,2,2,1,0,1,9,7,7,5,-30.79742741,-65.65978301,"PRECISA","14","Córdoba","14070","Minas","140700101"
"140576400",2,1,2,2,2,"PROA - ESCUELA DE EDUCACION SECUNDARIA DE FORMACION PROFESIONAL ESPECIALIZADA","CAMINO VIEJO S/N   EL BRETE","5281","EL BRETE","03549 15444299 (COORD)","",2,1,2,"Tarde",2,"Inglés","Música",2,2,2,1,"Satelital","Red Pública",2,2,2,2,0,0,0,0,0,0,0,-30.672635,-64.871898,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280110"
"140256100",2,1,2,2,1,"I.P.E.A. Nº 211 PRESIDENTE ARTURO ILLIA","CALLE PUBLICA S/N°   EL DIQUE DE CRUZ DEL EJE","X5280","CRUZ DEL EJE","03549 427112","ipem211arturoillia@yahoo.com.ar",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,2,"","Red Pública",1,2,2,2,11,11,0,295,182,13,6,-30.74969175,-64.73898619,"PRECISA","14","Córdoba","14028","Cruz del Eje","140280601"
"140120000",2,1,2,2,1,"I.P.E.T.y M. Nº 74 FRAY MAMERTO ESQUIU","BOULEVAR ALLENDE  LAS FLORES","X5236","VILLA DEL TOTORAL","03524 470869","ipem74_fme@yahoo.com.ar",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,2,1,"ADSL","Red Pública",1,2,2,2,20,20,0,352,146,25,13,-30.70246,-64.06816,"APROXIMADA","14","Córdoba","14168","Totoral","141680207"
"140570600",2,1,2,2,1,"ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION","REPUBLICA ARGENTINA S/N  B°SOL NACIENTE VILLA DEL TOTORAL","X5236","VILLA DEL TOTORAL","03521 15513808","",2,1,2,"Doble",1,"Inglés","Música, Artísticas Visuales/Plástica, Danzas",2,2,1,1,"ADSL/ Cable Modem/ Satelital","Red Pública",2,2,2,2,5,5,0,111,48,0,0,-30.70145147,-64.07077816,"APROXIMADA","14","Córdoba","14168","Totoral","141680205"
"140189000",2,1,2,2,1,"ESC. NORMAL SUPERIOR DE VILLA DEL TOTORAL","REP.ARGENTINA Y PTE. PERON  PADRE ABREGU VILLA DEL TOTORAL","X5236","VILLA DEL TOTORAL","03524 470286","ifdtotoral@hotmail.es",1,1,1,"Mañana, Tarde, Doble",1,"Inglés, Portugués","Música, Artísticas Visuales/Plástica, Teatro",1,2,2,1,"Cable Modem/ Satelital","Red Pública",2,2,2,2,24,24,0,593,307,44,10,-30.70389765,-64.06140572,"PRECISA","14","Córdoba","14168","Totoral","141680208"
"140328200",2,1,2,2,1,"I.P.E.A. Nº 217 ING. JOSE BARRIONUEVO","BOULEVARD MARTIN ALLENDE  AMADEO SABATTINI VILLA DEL TOTORAL","X5236","VILLA DEL TOTORAL","03524 470179","ipem217villadeltotoral@gmail.com",2,1,2,"Mañana, Doble",1,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"Internet Móvil","Red Pública",1,2,2,2,7,7,0,131,76,7,5,-30.70696688,-64.08115773,"PRECISA","14","Córdoba","14168","Totoral","141680209"
"140251200",2,1,2,2,1,"I.P.E.M. Nº 273 MANUEL BELGRANO","CARLOS PELLEGRINI 445 CENTRO CRUZ DEL EJE","X5280","CRUZ DEL EJE","03549 426765/753","ipem273@yahoo.com.ar; EE0320127@me.cba.gov.ar",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Telefónica/ ADSL/ Cable Modem","Red Pública",2,2,2,2,27,27,0,809,348,53,18,-30.72389445,-64.80925633,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280306"
"140251900",2,2,5,1,1,"INSTITUTO NUESTRA SEÑORA DEL VALLE","SARMIENTO 121 CENTRO CRUZ DEL EJE","X5280","CRUZ DEL EJE","03549 422032/422066","insv_nivelmedio@hotmail.com; insv.secundaria@gmail.com",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,2,1,"Satelital","Red Pública",2,2,2,2,18,18,0,614,273,83,30,-30.72844326,-64.80212522,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280207"
"140568700",2,1,2,2,1,"ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION","Eva Perón  187 Normal CRUZ DEL EJE","X5280","CRUZ DEL EJE","03549 15434042(COORD)","cruzdeleje.ds@escuelasproa.edu.ar",2,1,2,"Doble",1,"Inglés","Música, Artísticas Visuales/Plástica, Danzas, T",2,1,1,1,"Satelital","Red Pública",2,2,2,2,5,5,0,143,86,0,0,-30.72904728,-64.79967868,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280206"
"140320200",2,1,2,2,1,"ESC. NORMAL SUPERIOR REPUBLICA DEL PERU","SARMIENTO 1155 ESCUELA NORMAL CRUZ DEL EJE","X5280","CRUZ DEL EJE","03549 426744","ens.republicadelperu@gmail.com",1,1,1,"Mañana, Doble",1,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,1,1,1,"Satelital","Red Pública",2,2,2,2,30,30,0,824,377,135,62,-30.73444697,-64.79350472,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280208"
"140252300",2,2,5,1,1,"INSTITUTO JUAN PABLO II","AV.COSTANERA  INDEPENDIENTE CRUZ DEL EJE","X5280","CRUZ DEL EJE","03549 423705","isjpii@hotmail.com",2,1,2,"Mañana, Doble",2,"Inglés","Música, Teatro",1,1,2,1,"Telefónica","Red Pública",2,2,2,2,6,6,0,239,120,24,15,-30.72863979,-64.80281294,"APROXIMADA","14","Córdoba","14028","Cruz del Eje","140280208"
"140322300",2,1,2,2,1,"I.P.E.A.y T. Nº 242 FUERTE LOS MORTEROS","BV.PRESIDENTE ARTURO FRONDIZI 2915  ACCESO SUR- MORTEROS - Ruta Prov.1","X2421","MORTEROS","03562 425336","ipeayt242@gmail.com",2,1,2,"Mañana, Tarde, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",1,2,1,1,"ADSL/ Otro tipo","Red Pública",1,2,2,2,25,23,2,601,351,55,35,-30.73157833,-62.00646916,"PRECISA","14","Córdoba","14140","San Justo","141400804"
"140573600",2,1,2,2,2,"I.P.E.M. N° 425","9 DE JULIO S/N°   COLONIA SAN PEDRO","X2421","COLONIA SAN PEDRO","03562 15437132","",2,1,2,"Mañana, Doble",2,"Inglés","Música, Artísticas Visuales/Plástica, Teatro",2,2,1,1,"Cable Modem","Red Pública",2,2,2,2,6,6,0,61,34,2,1,-30.78118501,-61.91766338,"PRECISA","14","Córdoba","14140","San Justo","141400804"
